profile,config_id,scenario,split,controller,alpha,seed,n,delay_bins,jobs,mean_resource_fraction,metric_status,metric_reason,p95_wait,p99_wait,selected_on_validation,weighted_event_approximation
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.01,1730,100,1,720000,0.99375,ok,,10952.757090473651,17361.91259305293,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.03,1730,100,1,720000,0.9450347222222223,ok,,11416.092956958282,17760.422887751465,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.1,1730,100,1,720000,0.9097222222222223,ok,,11514.107329731014,18566.535945324154,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.3,1730,100,1,720000,0.8740277777777777,ok,,13584.496211566602,19045.455585777298,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,1.0,1730,100,1,720000,0.8298263888888888,ok,,15135.003893037134,19681.275901742254,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,3.0,1730,100,1,720000,0.7910416666666668,ok,,16209.230753906208,22214.253413499868,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,100.0,1730,100,1,720000,0.7237152777777777,ok,,18643.54992387845,28239.50395343603,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.01,1730,100,1,720000,0.9790972222222223,ok,,12200.22728860715,18956.95616247219,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.03,1730,100,1,720000,0.6382291666666666,ok,,35809.32408020318,42728.79472844355,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.07498942093324558,1730,100,1,720000,0.5040277777777777,ok,,53459.350703381286,59821.072878547624,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.1,1730,100,1,720000,0.47138888888888886,ok,,61992.69301980722,70312.27453062336,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.3,1730,100,1,720000,0.3572222222222222,ok,,109898.87737463924,125511.85272977689,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,1.0,1730,100,1,720000,0.2604166666666667,ok,,168538.45483963186,188754.53701418027,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,3.0,1730,100,1,720000,0.1948611111111111,ok,,294383.9899019466,325493.7639294576,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.01,1730,100,1,720000,0.99375,ok,,10952.757090473651,17361.91259305293,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.03,1730,100,1,720000,0.99375,ok,,10952.757090473651,17361.91259305293,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.1,1730,100,1,720000,0.99375,ok,,10952.757090473651,17361.91259305293,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.3,1730,100,1,720000,0.9927083333333333,ok,,11220.937132433755,16932.812237925325,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,1.0,1730,100,1,720000,0.9857291666666668,ok,,11443.689839801935,17816.866493128655,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,3.0,1730,100,1,720000,0.9784375,ok,,11907.992146790715,17633.462740042778,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,100.0,1730,100,1,720000,0.9638888888888889,ok,,13784.216633737813,19312.572346225206,True,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.01,1730,100,1,720000,0.9911805555555556,ok,,10995.050412855802,17943.37777052003,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.03,1730,100,1,720000,0.8315972222222223,ok,,16700.64691345312,22836.582516071598,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.1,1730,100,1,720000,0.8001736111111112,ok,,16432.35549735816,22909.38915633224,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.3,1730,100,1,720000,0.786875,ok,,16084.680673205972,21958.120391978413,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,1.0,1730,100,1,720000,0.7707986111111111,ok,,16026.23885813318,22808.962524261944,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,3.0,1730,100,1,720000,0.7549305555555555,ok,,16698.99111748694,21351.1765863861,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,100.0,1730,100,1,720000,0.7295138888888889,ok,,16017.088887483293,21583.121830617758,True,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.01,1731,100,1,720000,0.9599652777777777,ok,,15820.358563942842,20925.32783432442,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.03,1731,100,1,720000,0.5995138888888889,ok,,112088.91802786732,121420.57517180908,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.1,1731,100,1,720000,0.5528472222222223,ok,,225342.76018949124,248580.4591880967,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.3,1731,100,1,720000,0.5305555555555556,ok,,295398.11384694924,328745.15074999235,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,1.0,1731,100,1,720000,0.5107638888888889,ok,,418393.08174936974,458836.5416891191,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,3.0,1731,100,1,720000,0.5013541666666667,ok,,449820.5272596766,494441.4018339451,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,100.0,1731,100,1,720000,0.4888888888888889,ok,,449895.33567292633,489842.2096389678,True,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.01,1731,100,1,720000,0.99375,ok,,12204.338787163762,18616.651639054664,False,True
