experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,mean_wait,19992.475245177826,19683.471198432162,18254.308317444087,21829.521111751557,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,p95_wait,64975.3842486738,67350.78244879964,59928.548203567865,69786.30674109914,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,p99_wait,74834.73409936515,77889.37817266588,68817.13912886698,80896.36118515971,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,mean_response,20039.680119062803,19730.557402118764,18301.45091824861,21877.953664516892,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,p95_response,65000.04600700323,67378.8068154729,59957.82548186003,69808.1238072941,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,mean_resource_fraction,0.07135416666666665,0.07135416666666666,0.07135416666666665,0.07135416666666665,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,slo_violation_fraction,0.5593370214326783,0.5597097705330517,0.5566244347442058,0.5614284383658401,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,mean_wait,69660.33725783274,69204.44464391435,65838.91275623388,73290.2003410511,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,p95_wait,199599.74194334302,199746.69171708642,186988.85322586267,210728.9793178192,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,p99_wait,213389.13590486022,215793.78699492913,198993.15884940885,226104.51649216472,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,mean_response,69707.54213171774,69251.008451951,65885.67801549281,73338.45895011058,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,p95_response,199605.64741037766,199750.42075723602,186995.37014861417,210734.5062671764,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,mean_resource_fraction,0.061805555555555544,0.06180555555555555,0.061805555555555544,0.061805555555555544,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,slo_violation_fraction,0.5648574056494496,0.5649499549652068,0.5633677587126958,0.5663275129336313,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,2,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,mean_wait,99775.72901270518,97900.80417991275,94803.90210313386,104736.8576485408,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,p95_wait,283745.065594151,277304.3763059593,267855.85487948055,301946.3219535227,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,p99_wait,300098.2945696687,295277.1026594976,284043.4399962618,318797.07879402774,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,mean_response,99822.93388659017,97946.48312527755,94849.82693004447,104785.27070515054,10,10
