profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,high_volume,seasonal_mf_mpc,1738,100,1,empirical,720000,ok,,136651.26790049297,136654.78907165065,314681.6677454459,329964.7379706112,314683.3842714757,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7387194444444445
paper,paper,primary,high_volume,ewma_mf_mpc,1738,100,1,empirical,720000,ok,,3317.261168576908,3320.782339734598,13610.237605221111,19722.63051523692,13611.814935573531,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.7039958333333334
paper,paper,primary,high_volume,gp_mean_mf_mpc,1738,100,1,empirical,720000,ok,,7184.124696813561,7187.645867971252,31557.405559049424,39303.52401623719,31560.68230617057,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5759763888888889
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1738,100,1,empirical,720000,ok,,358.36006090644264,361.88123206413314,1993.667196612896,6597.695910686126,2009.219692162956,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2801972222222222
paper,paper,primary,high_volume,oracle_mf_mpc,1738,100,1,empirical,720000,ok,,299.94654923401515,303.4677203917056,1553.6452138821064,3886.191712413816,1560.6763893656412,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3551361111111111
paper,paper,primary,bursty,static,1731,100,1,empirical,70163,ok,,297202.31256110815,297248.386923279,703569.9633630688,712377.4214605447,703571.0298270186,0.05,432000.0,0,0.0,0.0173611111111111,0.5695879594658153
paper,paper,primary,bursty,reactive,1731,100,1,empirical,70163,ok,,192159.67818178385,192205.75254395464,526927.8604438822,544407.8591981996,526936.7029214149,0.0618055555555555,534000.0,10,0.6968641114982579,0.0173611111111111,0.56524093895643
paper,paper,primary,bursty,seasonal_mf_mpc,1731,100,1,empirical,70163,ok,,273811.8347558985,273857.9091180693,703569.9633630688,712377.4214605447,703571.0298270186,0.0774305555555555,669000.0,14,0.940766550522648,0.0173611111111111,0.5316762396134714
paper,paper,primary,bursty,ewma_mf_mpc,1731,100,1,empirical,70163,ok,,122043.51321417389,122089.58757634464,412962.7904355808,430624.6277831591,412967.1986363203,0.1029861111111111,889800.0,15,0.662020905923345,0.0173611111111111,0.5495489075438621
paper,paper,primary,bursty,gp_mean_mf_mpc,1731,100,1,empirical,70163,ok,,16939.4199025046,16985.494264675388,64437.492102577584,70525.38185327785,64446.93230236516,0.1171875,1012500.0,58,3.1149825783972127,0.0173611111111111,0.4916836509271268
