scenario,controller,alpha,validation_resource_fraction,reference_budget,selection_source
bursty,seasonal_mf_mpc,0.001,0.9018012422360249,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.004216965034285823,0.8992919254658385,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.01,0.8992919254658385,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.01778279410038923,0.3726086956521739,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.03,0.21185093167701866,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.07498942093324558,0.1596273291925466,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.1,0.14303105590062112,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.3,0.124,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,0.31622776601683794,0.124,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,1.0,0.10496894409937887,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,1.333521432163324,0.10496894409937887,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,3.0,0.10496894409937887,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,5.623413251903491,0.10496894409937887,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,23.71373705661655,0.10496894409937887,0.09273291925465837,validation_alpha_search
bursty,seasonal_mf_mpc,100.0,0.10496894409937887,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.001,0.9771428571428571,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.004216965034285823,0.9765465838509317,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.01,0.9765465838509317,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.01778279410038923,0.5256149068322982,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.03,0.355639751552795,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.07498942093324558,0.29360248447204973,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.1,0.275888198757764,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.3,0.24490683229813665,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,0.31622776601683794,0.24401242236024845,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,1.0,0.21464596273291925,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,1.333521432163324,0.21156521739130438,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,3.0,0.20388819875776398,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,5.623413251903491,0.19963975155279504,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,23.71373705661655,0.19526708074534163,0.09273291925465837,validation_alpha_search
bursty,ewma_mf_mpc,100.0,0.1936024844720497,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.001,0.9821366459627329,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.004216965034285823,0.9802484472049691,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.01,0.9789068322981366,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.01778279410038923,0.6070683229813665,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.03,0.45231055900621114,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.07498942093324558,0.37062111801242237,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.1,0.3492173913043478,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.3,0.2844223602484472,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,0.31622776601683794,0.28252173913043477,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,1.0,0.23885714285714285,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,1.333521432163324,0.23257142857142857,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,3.0,0.219527950310559,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,5.623413251903491,0.2122608695652174,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,23.71373705661655,0.20346583850931677,0.09273291925465837,validation_alpha_search
bursty,gp_mean_mf_mpc,100.0,0.20012422360248447,0.09273291925465837,validation_alpha_search
bursty,gp_ucb_mf_mpc,0.001,0.9896273291925466,0.09273291925465837,validation_alpha_search
bursty,gp_ucb_mf_mpc,0.004216965034285823,0.9892546583850931,0.09273291925465837,validation_alpha_search
bursty,gp_ucb_mf_mpc,0.01,0.9884347826086956,0.09273291925465837,validation_alpha_search
